,Measure	ent_type	partial	strict	exact
744,spurious	73	73	73	73
745,possible	154	154	154	154
746,actual	76	76	76	76
747,precision	0.026	0.026	0.013	0.013
748,recall	0.013	0.013	0.006	0.006
749,f1	0.017	0.017	0.009	0.009
750,correct	2	1	0	1
751,incorrect	2	0	4	3
752,partial	0	3	0	0
753,missed	72	72	72	72
754,spurious	103	103	103	103
755,possible	76	76	76	76
756,actual	107	107	107	107
757,precision	0.019	0.023	0.0	0.009
758,recall	0.026	0.033	0.0	0.013
759,f1	0.022	0.027	0	0.011
760,correct	2	1	1	1
761,incorrect	1	0	2	2
762,partial	0	2	0	0
763,missed	169	169	169	169
764,spurious	206	206	206	206
765,possible	172	172	172	172
766,actual	209	209	209	209
767,precision	0.01	0.01	0.005	0.005
768,recall	0.012	0.012	0.006	0.006
769,f1	0.01	0.01	0.005	0.005
770,correct	1	1	0	1
771,incorrect	3	0	4	3
772,partial	0	3	0	0
773,missed	223	223	223	223
774,spurious	129	129	129	129
775,possible	227	227	227	227
776,actual	133	133	133	133
777,precision	0.008	0.019	0.0	0.008
778,recall	0.004	0.011	0.0	0.004
779,f1	0.006	0.014	0	0.006
780,correct	0	0	0	0
781,incorrect	3	0	3	3
782,partial	0	3	0	0
783,missed	115	115	115	115
784,spurious	223	223	223	223
785,possible	118	118	118	118
786,actual	226	226	226	226
787,precision	0.0	0.007	0.0	0.0
788,recall	0.0	0.013	0.0	0.0
789,f1	0	0.009	0	0
790,correct	5	2	1	2
791,incorrect	3	0	7	6
792,partial	0	6	0	0
793,missed	125	125	125	125
794,spurious	163	163	163	163
795,possible	133	133	133	133
796,actual	171	171	171	171
797,precision	0.029	0.029	0.006	0.012
798,recall	0.038	0.038	0.008	0.015
799,f1	0.033	0.033	0.007	0.013
800,correct	1	0	0	0
801,incorrect	1	0	2	2
802,partial	0	2	0	0
803,missed	190	190	190	190
804,spurious	148	148	148	148
805,possible	192	192	192	192
806,actual	150	150	150	150
807,precision	0.007	0.007	0.0	0.0
808,recall	0.005	0.005	0.0	0.0
809,f1	0.006	0.006	0	0
810,correct	1	0	0	0
811,incorrect	2	0	3	3
812,partial	0	3	0	0
813,missed	64	64	64	64
814,spurious	39	39	39	39
815,possible	67	67	67	67
816,actual	42	42	42	42
817,precision	0.024	0.036	0.0	0.0
818,recall	0.015	0.022	0.0	0.0
819,f1	0.018	0.028	0	0
820,correct	3	0	0	0
821,incorrect	2	0	5	5
822,partial	0	5	0	0
823,missed	167	167	167	167
824,spurious	159	159	159	159
825,possible	172	172	172	172
826,actual	164	164	164	164
827,precision	0.018	0.015	0.0	0.0
828,recall	0.017	0.015	0.0	0.0
829,f1	0.018	0.015	0	0
830,correct	9	0	0	0
831,incorrect	6	0	15	15
832,partial	0	15	0	0
833,missed	239	239	239	239
834,spurious	304	304	304	304
835,possible	254	254	254	254
836,actual	319	319	319	319
837,precision	0.028	0.024	0.0	0.0
838,recall	0.035	0.03	0.0	0.0
839,f1	0.031	0.026	0	0
840,correct	6	3	2	3
841,incorrect	2	0	6	5
842,partial	0	5	0	0
843,missed	174	174	174	174
844,spurious	194	194	194	194
845,possible	182	182	182	182
846,actual	202	202	202	202
847,precision	0.03	0.027	0.01	0.015
848,recall	0.033	0.03	0.011	0.016
849,f1	0.031	0.029	0.01	0.016
850,correct	3	5	1	5
851,incorrect	6	0	8	4
852,partial	0	4	0	0
853,missed	163	163	163	163
854,spurious	184	184	184	184
855,possible	172	172	172	172
856,actual	193	193	193	193
857,precision	0.016	0.036	0.005	0.026
858,recall	0.017	0.041	0.006	0.029
859,f1	0.016	0.038	0.005	0.027
860,correct	3	4	1	4
861,incorrect	7	0	9	6
862,partial	0	6	0	0
863,missed	197	197	197	197
864,spurious	132	132	132	132
865,possible	207	207	207	207
866,actual	142	142	142	142
867,precision	0.021	0.049	0.007	0.028
868,recall	0.014	0.034	0.005	0.019
869,f1	0.017	0.04	0.006	0.023
870,correct	7	3	1	3
871,incorrect	6	0	12	10
872,partial	0	10	0	0
873,missed	177	177	177	177
874,spurious	241	241	241	241
875,possible	190	190	190	190
876,actual	254	254	254	254
877,precision	0.028	0.031	0.004	0.012
878,recall	0.037	0.042	0.005	0.016
879,f1	0.032	0.036	0.005	0.014
880,correct	2	1	1	1
881,incorrect	0	0	1	1
882,partial	0	1	0	0
883,missed	43	43	43	43
884,spurious	66	66	66	66
885,possible	45	45	45	45
886,actual	68	68	68	68
887,precision	0.029	0.022	0.015	0.015
888,recall	0.044	0.033	0.022	0.022
